new_colonynumber,pH,sample_ID,SGD_number,site,salinity,date,light_dark,P_R,umol.cm2.hr,umol.cm2.hr_uncorr,phosphate_umolL,silicate_umolL,NN_umolL,ammonia_umolL
15,8.05,Cabral_Col7_Dil8_Light,2,Cabral,35.9,6/11/23,LIGHT,NP,Inf,Inf,0.06,13.9,0.17,23.37
16,8.05,Cabral_Col8_Dil8_Light,2,Cabral,35.9,6/11/23,LIGHT,NP,0.3529928780026242,0.33844160337733387,0.06,13.9,0.17,23.37
18,8.08,Cabral_Col10_Dil8_Light,2,Cabral,35.8,6/12/23,LIGHT,NP,0.3815432427229737,0.35870566529395403,0.04,15.57,0.24,2.42
17,8.08,Cabral_Col9_Dil8_Light,2,Cabral,35.8,6/12/23,LIGHT,NP,0.38629482005102506,0.36500696532713256,0.04,15.57,0.24,2.42
1,8.06,Varari_Col1_Dil8_Light,2,Varari,36.6,6/17/23,LIGHT,NP,0.4143565186838692,0.3762272345470201,0.09,13.55,2.78,3.81
2,8.06,Varari_Col2_Dil8_Light,2,Varari,36.6,6/17/23,LIGHT,NP,0.44107888237173304,0.4168313549195084,0.09,13.55,2.78,3.81
3,8.06,Varari_Col3_Dil8_Light,2,Varari,36.6,6/17/23,LIGHT,NP,0.5880419408946032,0.5656602161327633,0.09,13.55,2.78,3.81
4,8.07,Varari_Col4_Dil8_Light,2,Varari,36,6/18/23,LIGHT,NP,0.2584800171615925,0.23922787048196925,0.07,13.59,3.54,1.73
5,8.1,Varari_Col5_Dil8_Light,2,Varari,35.9,6/21/23,LIGHT,NP,0.3083615810585036,0.24644731084603722,0.07,9.9,1.02,5.44
6,8.1,Varari_Col6_Dil8_Light,2,Varari,35.9,6/21/23,LIGHT,NP,0.6140482084066635,0.5206668389003902,0.07,9.9,1.02,5.44
7,8.08,Varari_Col7_Dil8_Light,2,Varari,36,6/22/23,LIGHT,NP,0.3671237843607702,0.3347783809473742,0.09,11.23,1.13,1.51
8,8.08,Varari_Col8_Dil8_Light,2,Varari,36,6/22/23,LIGHT,NP,0.31421747801377525,0.2848987770458329,0.09,11.23,1.13,1.51
13,8.08,Cabral_Col5_Dil9_Light,4,Cabral,35.2,6/10/23,LIGHT,NP,0.2788310475397363,0.26087860567674903,0.12,24.72,0.04,0.39
14,8.08,Cabral_Col6_Dil9_Light,4,Cabral,35.2,6/10/23,LIGHT,NP,0.44332031027477714,0.4309337680540669,0.12,24.72,0.04,0.39
15,8.08,Cabral_Col7_Dil9_Light,4,Cabral,35.1,6/11/23,LIGHT,NP,0.2572332269576225,0.24328111394589613,0.06,23.61,1.31,18.74
16,8.08,Cabral_Col8_Dil9_Light,4,Cabral,35.1,6/11/23,LIGHT,NP,0.31723042245858396,0.2966394022567558,0.06,23.61,1.31,18.74
18,8.1,Cabral_Col10_Dil9_Light,4,Cabral,35.1,6/12/23,LIGHT,NP,0.4016882247416221,0.37308824245244265,0.07,25.7,0.32,1.99
17,8.1,Cabral_Col9_Dil9_Light,4,Cabral,35.1,6/12/23,LIGHT,NP,0.46963559817290584,0.4387178113031637,0.07,25.7,0.32,1.99
1,8.03,Varari_Col1_Dil9_Light,4,Varari,35.9,6/17/23,LIGHT,NP,0.3881100738471099,0.34427686209914443,0.13,22.86,3.21,5.31
2,8.03,Varari_Col2_Dil9_Light,4,Varari,35.9,6/17/23,LIGHT,NP,0.6632155462478181,0.6045906648760765,0.13,22.86,3.21,5.31
3,8.03,Varari_Col3_Dil9_Light,4,Varari,35.9,6/17/23,LIGHT,NP,0.4874828452156932,0.44834885215233805,0.13,22.86,3.21,5.31
4,8.06,Varari_Col4_Dil9_Light,4,Varari,35.3,6/18/23,LIGHT,NP,0.3163892129827145,0.29586632161563614,1.07,18.09,4.47,22.62
5,8.11,Varari_Col5_Dil9_Light,4,Varari,35,6/21/23,LIGHT,NP,0.392730334093491,0.3414081571714602,0.07,19.77,3.24,3.75
6,8.11,Varari_Col6_Dil9_Light,4,Varari,35,6/21/23,LIGHT,NP,0.5282091976194865,0.4912272796432894,0.07,19.77,3.24,3.75
7,8.06,Varari_Col7_Dil9_Light,4,Varari,35.2,6/22/23,LIGHT,NP,0.3269407336902223,0.2963827788423011,0.12,21.43,2.05,9.87
8,8.06,Varari_Col8_Dil9_Light,4,Varari,35.2,6/22/23,LIGHT,NP,0.5311884750454654,0.4905047512575646,0.12,21.43,2.05,9.87
13,8.14,Cabral_Col5_Dil1_Dark,0,Cabral,36.6,6/10/23,DARK,R,0.4392357367617106,0.48995335780355315,0.05,3.38,0.16,0.52
14,8.14,Cabral_Col6_Dil1_Dark,0,Cabral,36.6,6/10/23,DARK,R,0.4527847556909504,0.5157021954789396,0.05,3.38,0.16,0.52
15,8.09,Cabral_Col7_Dil1_Dark,0,Cabral,36.5,6/11/23,DARK,R,0.44750049253606466,0.496199341407645,0.03,4.24,0.54,21.41
16,8.09,Cabral_Col8_Dil1_Dark,0,Cabral,36.5,6/11/23,DARK,R,0.345120480205372,0.37796049186363284,0.03,4.24,0.54,21.41
18,8.06,Cabral_Col10_Dil1_Dark,0,Cabral,36.3,6/12/23,DARK,R,0.3792423753863472,0.4014465976542521,0.03,2.58,0.23,0.16
17,8.06,Cabral_Col9_Dil1_Dark,0,Cabral,36.3,6/12/23,DARK,R,0.33187177295456327,0.35383541564430426,0.03,2.58,0.23,0.16
1,8.06,Varari_Col1_Dil1_Dark,0,Varari,37.3,6/17/23,DARK,R,0.3716749889962369,0.47602571509720626,0.03,4.88,2.52,4.96
2,8.06,Varari_Col2_Dil1_Dark,0,Varari,37.3,6/17/23,DARK,R,0.37644138657150167,0.47892542225330537,0.03,4.88,2.52,4.96
3,8.06,Varari_Col3_Dil1_Dark,0,Varari,37.3,6/17/23,DARK,R,0.30978976802107133,0.3746668572356383,0.03,4.88,2.52,4.96
4,8.09,Varari_Col4_Dil1_Dark,0,Varari,36.4,6/18/23,DARK,R,0.3558666625323219,0.39194182570260494,0.05,3.63,0.99,1.49
6,8.09,Varari_Col6_Dil1_Dark,0,Varari,36.4,6/21/23,DARK,R,0.32704711935172853,0.4543795139424957,0.1,2.27,0.48,6.9
7,8.08,Varari_Col7_Dil1_Dark,0,Varari,36.4,6/22/23,DARK,R,0.2780534678304392,0.33597521001071606,0.03,2.45,0.6,4.44
8,8.08,Varari_Col8_Dil1_Dark,0,Varari,36.4,6/22/23,DARK,R,0.2560192913138998,0.2985172377404354,0.03,2.45,0.6,4.44
13,8.05,Cabral_Col5_Dil2_Dark,0.01,Cabral,36.5,6/10/23,DARK,R,0.4804914737317189,0.5179024585625268,0.05,3.49,1.04,0.57
14,8.05,Cabral_Col6_Dil2_Dark,0.01,Cabral,36.5,6/10/23,DARK,R,0.4918843598159794,0.5198365710821994,0.05,3.49,1.04,0.57
15,8.09,Cabral_Col7_Dil2_Dark,0.01,Cabral,36.6,6/11/23,DARK,R,0.32785900295100817,0.357264476328349,0.03,3.04,1.02,17.21
16,8.09,Cabral_Col8_Dil2_Dark,0.01,Cabral,36.6,6/11/23,DARK,R,0.38027797956362613,0.398999836466679,0.03,3.04,1.02,17.21
18,8.08,Cabral_Col10_Dil2_Dark,0.01,Cabral,36.6,6/12/23,DARK,R,0.4508337120271729,0.5053674434118169,0.03,2.98,0.07,<0.02
17,8.08,Cabral_Col9_Dil2_Dark,0.01,Cabral,36.6,6/12/23,DARK,R,0.3244900230109403,0.3919054728720469,0.03,2.98,0.07,<0.02
1,8.09,Varari_Col1_Dil2_Dark,0.01,Varari,37.4,6/17/23,DARK,R,0.37712463235516464,0.4303770441339252,0.06,4.51,4.67,4.07
2,8.09,Varari_Col2_Dil2_Dark,0.01,Varari,37.4,6/17/23,DARK,R,0.26408871238845155,0.3234416567947299,0.06,4.51,4.67,4.07
3,8.09,Varari_Col3_Dil2_Dark,0.01,Varari,37.4,6/17/23,DARK,R,0.2951897654363845,0.32408207541428463,0.06,4.51,4.67,4.07
4,8.01,Varari_Col4_Dil2_Dark,0.01,Varari,36.7,6/18/23,DARK,R,0.47628698750615706,0.48838330452370643,0.07,3.65,3.26,3.59
5,8.11,Varari_Col5_Dil2_Dark,0.01,Varari,36.4,6/21/23,DARK,R,0.33808904024022557,0.4047247251158707,0.04,1.78,0.52,1.77
6,8.11,Varari_Col6_Dil2_Dark,0.01,Varari,36.4,6/21/23,DARK,R,0.34760362544574047,0.4267848570121311,0.04,1.78,0.52,1.77
7,8.05,Varari_Col7_Dil2_Dark,0.01,Varari,36.4,6/22/23,DARK,R,0.29542219969709593,0.3433405801008431,0.06,2.55,0.72,1.64
8,8.05,Varari_Col8_Dil2_Dark,0.01,Varari,36.4,6/22/23,DARK,R,0.2674978769315645,0.3096162464499502,0.06,2.55,0.72,1.64
13,8.07,Cabral_Col5_Dil3_Dark,0.03,Cabral,36.6,6/10/23,DARK,R,0.37537953649445316,0.3921308996165033,0.04,4.11,0.28,0.7
14,8.07,Cabral_Col6_Dil3_Dark,0.03,Cabral,36.6,6/10/23,DARK,R,0.307717979130642,0.3186657276107312,0.04,4.11,0.28,0.7
15,8.08,Cabral_Col7_Dil3_Dark,0.03,Cabral,36.5,6/11/23,DARK,R,0.2906853471602816,0.31051009762592024,0.04,5.16,1.78,2.98
16,8.08,Cabral_Col8_Dil3_Dark,0.03,Cabral,36.5,6/11/23,DARK,R,0.2913300729493589,0.3072361543884871,0.04,5.16,1.78,2.98
18,8.05,Cabral_Col10_Dil3_Dark,0.03,Cabral,36.4,6/12/23,DARK,R,0.19509421872483507,0.22214521861712602,0.07,3.15,0.8,6.67
17,8.05,Cabral_Col9_Dil3_Dark,0.03,Cabral,36.4,6/12/23,DARK,R,0.29212098679321613,0.3321219909135591,0.07,3.15,0.8,6.67
1,8.07,Varari_Col1_Dil3_Dark,0.03,Varari,37.4,6/17/23,DARK,R,0.25653025899347554,0.28483835234840266,0.07,4.53,3.03,4.95
2,8.07,Varari_Col2_Dil3_Dark,0.03,Varari,37.4,6/17/23,DARK,R,0.23047711941709584,0.2798931512707147,0.07,4.53,3.03,4.95
3,8.07,Varari_Col3_Dil3_Dark,0.03,Varari,37.4,6/17/23,DARK,R,0.21520113298130472,0.26068163682875806,0.07,4.53,3.03,4.95
4,8.06,Varari_Col4_Dil3_Dark,0.03,Varari,36.7,6/18/23,DARK,R,0.329709990160547,0.3420638417432504,0.03,3.14,2.63,0.52
5,8.12,Varari_Col5_Dil3_Dark,0.03,Varari,36.3,6/21/23,DARK,R,0.2872755820637667,0.31720732550597275,0.04,1.93,1.79,7.35
6,8.12,Varari_Col6_Dil3_Dark,0.03,Varari,36.3,6/21/23,DARK,R,0.25270977278309775,0.28379910877732945,0.04,1.93,1.79,7.35
